               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,             0.03412,            0.034237,           0.0063561,             0.64467,             0.73887,             0.74592,             0.44093,             0.03482,            0.020254,            0.017879,            0.001585,            0.001585,            0.001585
                  87,            0.032944,            0.028033,            0.011137,             0.65389,             0.73756,             0.75083,             0.41369,            0.036044,             0.02068,            0.018027,            0.001486,            0.001486,            0.001486
                  88,            0.036165,            0.030008,           0.0049697,             0.76656,             0.67986,             0.75611,             0.43775,            0.035189,             0.02038,             0.01938,            0.001387,            0.001387,            0.001387
                  89,            0.035322,            0.028253,           0.0055717,             0.76356,             0.65045,             0.74185,             0.42276,            0.035465,            0.020486,            0.020594,            0.001288,            0.001288,            0.001288
                  90,            0.035589,            0.034245,            0.005902,             0.74545,             0.65045,             0.74288,             0.42985,            0.035226,            0.020281,            0.022184,            0.001189,            0.001189,            0.001189
                  91,            0.035764,            0.032925,           0.0072555,             0.60105,             0.78053,             0.72962,             0.43307,             0.03519,            0.020397,            0.023643,             0.00109,             0.00109,             0.00109
                  92,            0.035524,            0.032334,           0.0049763,              0.7242,             0.62104,             0.73292,             0.42392,            0.035608,            0.020821,            0.023252,            0.000991,            0.000991,            0.000991
                  93,            0.033998,            0.031068,           0.0064495,             0.75034,             0.62104,             0.73163,             0.42173,            0.035054,            0.020878,            0.022026,            0.000892,            0.000892,            0.000892
                  94,            0.033407,            0.031925,           0.0063219,             0.75458,             0.62104,             0.73471,             0.42129,            0.035117,            0.020979,            0.021173,            0.000793,            0.000793,            0.000793
                  95,            0.034805,            0.030296,           0.0045955,             0.75062,              0.6368,             0.75314,             0.41513,            0.035071,            0.021116,              0.0195,            0.000694,            0.000694,            0.000694
                  96,            0.033985,            0.038331,           0.0058977,             0.63797,             0.81712,              0.7575,              0.4274,            0.034852,            0.021092,            0.019009,            0.000595,            0.000595,            0.000595
                  97,            0.033476,            0.034441,           0.0056476,             0.64114,             0.82975,             0.76849,             0.43839,            0.034734,            0.021142,            0.018401,            0.000496,            0.000496,            0.000496
                  98,             0.03159,            0.029466,           0.0061398,             0.62365,             0.80543,             0.76459,              0.4321,            0.034725,            0.021272,            0.017941,            0.000397,            0.000397,            0.000397
                  99,            0.032139,            0.027373,           0.0053061,              0.6885,             0.68988,             0.77651,             0.43035,            0.034856,            0.021331,            0.018189,            0.000298,            0.000298,            0.000298
